txn_id,customer_id,txn_date,amount,currency,status,region,channel,product_type,reference_no
TXN-0B5E3566,CUST-829884,2026-07-15,37944.47,INR,REVERSED,APAC,ONLINE,LOAN_PAYMENT,REF-44349528
TXN-307B1323,CUST-717113,2026-06-08,15275.96,AED,COMPLETED,APAC,BRANCH,WIRE_TRANSFER,REF-45520201
TXN-4E0A9804,CUST-795928,2026-05-10,49041.1,INR,COMPLETED,EMEA,ATM,LOAN_PAYMENT,REF-69096899
TXN-220732B4,CUST-581141,2026-07-14,13251.36,EUR,FAILED,LATAM,MOBILE,BILL_PAY,REF-39436733
TXN-F6914C60,CUST-903035,2026-07-16,6428.29,INR,PENDING,NA,MOBILE,WIRE_TRANSFER,REF-82383095
TXN-FDA9CC28,CUST-457455,2026-07-12,18508.95,GBP,COMPLETED,APAC,BRANCH,WIRE_TRANSFER,REF-92924837
TXN-8D90C8AE,CUST-254739,2026-05-10,34384.24,USD,REVERSED,EMEA,BRANCH,DEPOSIT,REF-72350830
TXN-F1DAD770,CUST-448048,2026-06-28,6232.51,GBP,REVERSED,LATAM,MOBILE,FX_CONVERSION,REF-55504725
TXN-CFD795B2,CUST-770487,2026-07-18,1260.29,GBP,PENDING,EMEA,BRANCH,LOAN_PAYMENT,REF-83197857
TXN-ACEAF5D3,CUST-822063,2026-07-25,7912.44,INR,REVERSED,LATAM,BRANCH,BILL_PAY,REF-91424562
TXN-67769246,CUST-152727,2026-06-29,18961.4,EUR,REVERSED,NA,ATM,FX_CONVERSION,REF-47346970
TXN-7E8AD1B9,CUST-237377,2026-06-26,21911.42,INR,COMPLETED,APAC,BRANCH,WIRE_TRANSFER,REF-51708177
TXN-C46EA607,CUST-946335,2026-07-27,36489.29,AED,COMPLETED,LATAM,ONLINE,DEPOSIT,REF-49349722
TXN-AF4FC9D1,CUST-505674,2026-06-15,12689.98,USD,FAILED,APAC,ATM,WIRE_TRANSFER,REF-98195059
TXN-113DDCA2,CUST-855053,2026-06-10,24434.01,EUR,REVERSED,LATAM,MOBILE,LOAN_PAYMENT,REF-22489409
TXN-5D2ACDC6,CUST-417534,2026-05-15,26678.57,AED,PENDING,EMEA,BRANCH,DEPOSIT,REF-91220369
TXN-AD5A1E36,CUST-809217,2026-07-02,48479.73,AED,FAILED,LATAM,BRANCH,DEPOSIT,REF-42100652
TXN-7B076660,CUST-476395,2026-05-20,14800.66,GBP,COMPLETED,LATAM,ATM,LOAN_PAYMENT,REF-85957706
TXN-874FE01D,CUST-797660,2026-06-08,43405.93,USD,FAILED,NA,ATM,LOAN_PAYMENT,REF-87566910
TXN-6896B22D,CUST-627335,2026-05-26,20938.85,EUR,PENDING,EMEA,ATM,LOAN_PAYMENT,REF-96057593
TXN-1D0ED3ED,CUST-632060,2026-07-05,7744.96,INR,PENDING,APAC,ATM,DEPOSIT,REF-59333209
TXN-4D6461FF,CUST-411120,2026-07-05,48435.78,AED,COMPLETED,NA,ONLINE,LOAN_PAYMENT,REF-88406989
TXN-341A048E,CUST-664742,2026-06-01,17262.75,AED,REVERSED,LATAM,ATM,WIRE_TRANSFER,REF-42051937
TXN-BF30B1D7,CUST-228093,2026-06-04,4592.75,EUR,COMPLETED,APAC,ATM,WIRE_TRANSFER,REF-26901217
TXN-51FBA0C4,CUST-378517,2026-06-12,6552.61,GBP,REVERSED,NA,ONLINE,LOAN_PAYMENT,REF-71510041
TXN-019E1D9E,CUST-401603,2026-05-07,27334.44,USD,REVERSED,NA,ATM,FX_CONVERSION,REF-43567615
TXN-FCEFAA3D,CUST-905934,2026-05-11,17015.37,GBP,REVERSED,EMEA,MOBILE,LOAN_PAYMENT,REF-45351479
TXN-8DCA1F75,CUST-690996,2026-07-27,41263.56,USD,COMPLETED,APAC,ATM,WIRE_TRANSFER,REF-86790955
TXN-6B7F9C6B,CUST-693418,2026-05-06,39628.05,EUR,PENDING,APAC,MOBILE,DEPOSIT,REF-42323627
